PAIS#PESO#VALOR#NUM_OPERACIONES
ALEMANIA#162#3.008,43#20
ANDORRA#10#76,00#1
CHINA#31.622#122.765,74#36
ESTADOS UNIDOS DE AMERICA#1.106#39.959,08#21
FRANCIA#1.201.222#24.243.849,00#163
HONG KONG#59#2.134,36#6
INDIA#245#2.535,79#1
ITALIA#14.963#1.774.032,83#64
JAPON#128#3.326,77#15
PAISES BAJOS#197#1.756,10#1
PAISES Y TERRITORIOS NO DETERMINADOS#1#175,00#1
REINO UNIDO#26#1.336,54#1
SUECIA#85.000#691.431,00#1
TAIWAN#46#1.723,06#5
TURQUIA#4.170#69.292,69#12
Total#1.338.957#26.957.402,39#348
