PAIS#PESO#VALOR#NUM_OPERACIONES
ALEMANIA#1.894#123.736,67#14
CHINA#34#978,46#6
ESTADOS UNIDOS DE AMERICA#23#5.566,70#4
FRANCIA#5.803#19.587,21#41
HONG KONG#2#257,60#1
ITALIA#1.409#180.072,90#28
JAPON#7#596,64#2
REPUBLICA CHECA#79.325#578.184,04#15
TAIWAN#15#513,73#1
TURQUIA#769#8.024,78#1
Total#89.280#917.518,74#113
