PAIS#PESO#VALOR#NUM_OPERACIONES
ALEMANIA#15.104#1.026.852,69#19
AUSTRIA#10#950,00#1
CHINA#14#456,65#1
ESTADOS UNIDOS DE AMERICA#16#2.371,86#2
FRANCIA#162#518,47#16
HONG KONG#46#1.722,96#5
ITALIA#23#529,82#14
JAPON#3#600,00#1
PAISES Y TERRITORIOS NO DETERMINADOS#7#60,00#1
Total#15.385#1.034.062,46#60
