PAIS#PESO#VALOR#NUM_OPERACIONES
ALEMANIA#20.646#983.307,54#9
ITALIA#50#12.476,00#1
POLONIA#50#9.276,90#1
PORTUGAL#123#2.815,25#7
REINO UNIDO#14#1.938,00#1
REPUBLICA CHECA#58#7.795,60#2
Total#20.941#1.017.609,29#21
