PAIS#PESO#VALOR#NUM_OPERACIONES
ALEMANIA#17.504#443.244,60#65
CHINA#2.302#12.869,06#6
COLOMBIA#5#1.140,00#1
DINAMARCA#61#1.416,00#1
ESTADOS UNIDOS DE AMERICA#2#83,30#1
FINLANDIA#7#17.594,00#1
FRANCIA#12.275#40.606,26#37
HONG KONG#242#6.137,43#15
INDIA#145#753,53#1
ITALIA#4.419#583.305,37#46
JAPON#54#1.515,35#3
PAISES Y TERRITORIOS NO DETERMINADOS#10#610,00#2
REINO UNIDO#7.507#142.636,37#8
SUIZA#97#39.119,36#10
Total#44.630#1.291.030,63#197
