PAIS#PESO#VALOR#NUM_OPERACIONES
ALEMANIA#5.894#1.631.918,92#51
AUSTRALIA#1#290,93#1
AUSTRIA#182#23.824,00#2
CANADA#92.869#231.116,42#5
CHINA#643#9.359,66#11
DINAMARCA#348#5.118,60#5
ESLOVENIA#420#8.185,00#1
ESTADOS UNIDOS DE AMERICA#593#27.384,15#21
FRANCIA#4.869#33.352,57#66
HONG KONG#24#641,67#3
ITALIA#521#15.670,07#25
JAPON#436#10.812,42#5
PAISES Y TERRITORIOS NO DETERMINADOS#8#505,77#2
REINO UNIDO#40#996,19#1
SUIZA#4#271,99#2
TAIWAN#255#9.019,39#5
Total#107.106#2.008.467,76#206
