PAIS#PESO#VALOR#NUM_OPERACIONES
ALEMANIA#2.420#16.241,17#12
ANDORRA#353#8.210,73#1
BELGICA#3#419,87#1
CHINA#1.065#19.112,74#15
ESTADOS UNIDOS DE AMERICA#128#6.269,42#11
FRANCIA#310#2.000,26#31
HONG KONG#1.758#36.225,61#45
ITALIA#3.781#14.585,99#13
JAPON#771#15.650,83#20
REINO UNIDO#281#19.441,60#4
REPUBLICA CHECA#96#2.070,40#2
TAIWAN#3#516,97#2
TURQUIA#286#5.920,81#2
Total#11.255#146.666,39#159
